marawi_q8,2017-07-19 23:35,,,en
yousef_alm7ainy,2017-07-19 23:28,  ,,en
Sh_____d,2017-07-19 23:01,  ,,en
RAZANALI119,2017-07-19 22:58, ,"(['\xd8\xa3\xd8\xa8\xd9\x88\xd8\xb8\xd8\xa8\xd9\x8a', ' \xd8\xa7\xd9\x84\xd8\xa7\xd9\x85\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd8\xad'], Location((24.39647445, 54.5366630864, 0.0)))",en
abrar0558,2017-07-19 22:49,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
marawi_q8,2017-07-19 22:48,  ,,en
abrar0558,2017-07-19 22:43,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
0hanin0,2017-07-19 22:40,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
marawi_q8,2017-07-19 22:32,  ,,en
marawi_q8,2017-07-19 22:30,  ,,en
marawi_q8,2017-07-19 22:28, ,,en
abrar0558,2017-07-19 22:00,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
marawi_q8,2017-07-19 21:55,2002091qqw  ,,en
saaaaad5231212,2017-07-19 21:07,  ,,en
marawi_q8,2017-07-19 21:06,0hanin0  ,,en
marawi_q8,2017-07-19 21:03,  ,,en
marawi_q8,2017-07-19 20:56,  ,,en
Sofuia1,2017-07-19 20:55,  ,,en
soso800080,2017-07-19 20:49,  abrar0558 ahlamsmsm0,,en
ana_nora5,2017-07-19 20:47,  ,,en
ana_nora5,2017-07-19 20:40,  ,,en
marawi_q8,2017-07-19 20:14,  ,,en
CXQnhvqZAbq2I5l,2017-07-19 18:27,  ,,en
marawi_q8,2017-07-19 18:14,  9,,en
MZ9900,2017-07-19 18:05,marawiq8  ,,en
marawi_q8,2017-07-19 17:47,  ,,en
roo7e28,2017-07-19 17:47,  ,,en
marawi_q8,2017-07-19 17:40,  ,,en
roo7e28,2017-07-19 17:39,  ,,en
marawi_q8,2017-07-19 17:35,  ,,en
omqni18,2017-07-19 15:58,,"(['\xd8\xb3\xd9\x84\xd8\xb7\xd9\x86\xd8\xa9 \xd8\xb9\xd9\x85\xd8\xa7\xd9\x86'], Location((21.0000287, 57.0036901, 0.0)))",en
AdamsJeddah,2017-07-19 15:05,  ,,en
khaledmostafa80,2017-07-19 14:30, ,"(['\xd9\x85\xd8\xb5\xd8\xb1'], Location((26.2540493, 29.2675469, 0.0)))",en
Amel_Alshmmery,2017-07-19 13:52,  ,"(['Eastern', ' Kingdom of Saudi Arab'], Location((1.1787184, 38.6025801, 0.0)))",en
xRrObXue4wrtGEh,2017-07-19 13:27, ,,en
marawi_q8,2017-07-19 13:14,0hanin0  ,,en
soundhors,2017-07-19 12:54,  ,,en
amolbod,2017-07-19 12:52,  ,"(['Riyadh', ' Kingdom of Saudi Arabia'], Location((15.5835188, 32.5677069, 0.0)))",en
marawi_q8,2017-07-19 12:30,  ,,en
1M_MARYM,2017-07-19 12:29,  ,,en
marawi_q8,2017-07-19 12:20,  1,,en
760777S,2017-07-19 8:23,  ,"(['\xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.2733964, 47.4979476, 0.0)))",en
Marawi_Ahmad2,2017-07-19 8:19,  ,,en
0hanin0,2017-07-19 7:36,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
marawi_q8,2017-07-19 7:35,  ,,en
asd_t1402t,2017-07-19 7:15,  ,,en
marawi_q8,2017-07-19 7:11,  ,,en
marawi_q8,2017-07-19 6:25,  ,,en
albashaahoot,2017-07-19 6:25,,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",en
marawi_q8,2017-07-19 6:00,  2,,en
marawi_q8,2017-07-19 5:58,  ,,en
hanoovah,2017-07-19 5:36,  ,,en
marawi_q8,2017-07-19 5:35,  0,,en
abrar0558,2017-07-19 4:26,  ,"(['\xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a\xd8\xa9'], Location((25.6242618, 42.3528328, 0.0)))",en
Marawi_98,2017-07-19 4:03,  ,,en
arnileee,2017-07-19 3:39,  ,,en
Amerr49,2017-07-19 3:25,,"(['Iraq'], Location((33.0955793, 44.1749775, 0.0)))",en
marawi_93,2017-07-19 2:19,,"(['Muscat', ' Oman'], Location((18.3717337, -72.2862809, 0.0)))",en
Nof_Zadjali,2017-07-19 2:16,  ,"(['Muscat - Oman'], Location((23.5997857, 58.5451305, 0.0)))",en
marawi_f,2017-07-19 0:28,  ,,en
NoshahTs,2017-07-19 0:23,  ,,en
NoshahTs,2017-07-19 0:22, ,,en
NoshahTs,2017-07-19 0:22,  ,,en
