TerrorEvents,2017-07-08 22:20,21,5,Philippines Marawi - Propaganda about Marawi is again being distributed on Telegram,,,# # # #,883692276475678720,https://twitter.com/TerrorEvents/status/883692276475678720,en
PhilippineStar,2017-07-08 22:20,3,8,"Globe, Smart extend free mobile services in Marawi.",,,,883692148805251072,https://twitter.com/PhilippineStar/status/883692148805251072,en
isitjustus2,2017-07-08 22:19,0,0,"blacktwitter Sudan: Sudan Sanctions, Mosul, and Marawi – The Cheat Sheet",,,#,883692116542672896,https://twitter.com/isitjustus2/status/883692116542672896,en
princessxaxa01,2017-07-08 22:18,0,0,"RamadhanProject2017 Another Medical Mission at New Capitol, Marawi City. Alhamdulillah For donations, you...",,,#,883691832005316608,https://twitter.com/princessxaxa01/status/883691832005316608,en
Tinalex4,2017-07-08 22:14,7,6,I will support mayward always. To hanash young. Godbless. Mayward awit sa marawi MAYWARD VoteForEdukCircle,,,,883690756115898368,https://twitter.com/Tinalex4/status/883690756115898368,en
gingmoreno1,2017-07-08 22:14,4,9,"Darren has been part of SALUDO concert 4 Fallen44. Also, DARREN's voice cn be an inspiration 2 help Marawi people Espanto2001",,@ @,,883690650167721984,https://twitter.com/gingmoreno1/status/883690650167721984,en
TerrorEvents,2017-07-08 22:13,18,3,Philippines Marawi - IS claims having killed 11 Filipino soldiers in attacks today and,,,# # #,883690559336058881,https://twitter.com/TerrorEvents/status/883690559336058881,en
yagchri,2017-07-08 22:11,1,0,Philippines: Marawi,,,,883689923802431489,https://twitter.com/yagchri/status/883689923802431489,en
WGS_Watchman,2017-07-08 22:10,0,0,Latest Update: Philippines Marawi Crisis n the ISIS threat Wyoming Seattle Montana Christian LasVegas NewYork,,,# # # # # #,883689676548210688,https://twitter.com/WGS_Watchman/status/883689676548210688,en
mmprideorg,2017-07-08 22:09,6,32,"If you gave to TMPRMNTLBRAT's Marawi Relief Booth at Pride, then you helped make this happen! Thank you, mahal! HereTogetherhttps://",,@,#,883689517009354752,https://twitter.com/mmprideorg/status/883689517009354752,en
PhilippinePolRR,2017-07-08 22:09,0,0,Red Cross aiding traumatized Marawi victims,,,,883689442036387840,https://twitter.com/PhilippinePolRR/status/883689442036387840,en
CMcAuley99,2017-07-08 22:06,0,0,PrayForParis PrayForLondon PrayForHT PrayForMarawi PrayForManchester PRAYFORNICK PrayForJosiah Prayforhamburg PrayForJapan,,,# # # # # # # # #,883688738609655808,https://twitter.com/CMcAuley99/status/883688738609655808,en
sunny19666453,2017-07-08 22:06,0,0,siteintelgroup ‘Amaq Reports IS Fighters Killing 11 Philippine Soldiers in Marawi’s Lilod…,,,,883688689410375681,https://twitter.com/sunny19666453/status/883688689410375681,en
siteintelgroup,2017-07-08 22:05,13,3,‘Amaq Reports IS Fighters Killing 11 Philippine Soldiers in Marawi’s Lilod Madaya District,,,,883688528340815872,https://twitter.com/siteintelgroup/status/883688528340815872,en
jimtypes,2017-07-08 22:05,0,1,"In Marawi Philippines, they are dying, good riddance!",,,,883688515548131328,https://twitter.com/jimtypes/status/883688515548131328,en
daBong63,2017-07-08 22:05,0,0,I didn't expect much from these morons.... Why don't they just lead the charge in marawi... Sayang naman get up nila...,,,,883688494505181184,https://twitter.com/daBong63/status/883688494505181184,en
Haniya_Qureshi,2017-07-08 22:04,0,0,Moro Marawi Philippines MyUmmah,,,# # # #,883688124127301632,https://twitter.com/Haniya_Qureshi/status/883688124127301632,en
africa_report,2017-07-08 21:59,0,0,"Sudan Sanctions, Mosul, and Marawi – The Cheat Sheet",,,,883686998338404352,https://twitter.com/africa_report/status/883686998338404352,en
theGacs,2017-07-08 21:58,0,0,"Thought experiment: If there's Marawi style rebellion in Makati, would you declare martial law in: A. Makati only...",,,,883686844776431617,https://twitter.com/theGacs/status/883686844776431617,en
barnabychuck,2017-07-08 21:54,0,1,"4 civilians make daring escape from war zone in Marawi , Philippines w/ military’s help. My CGTNOfficial report:",,@,# #,883685756169879555,https://twitter.com/barnabychuck/status/883685756169879555,en
SaladinAlDronni,2017-07-08 21:53,7,2,"Two claims by Amaq about Marawi appeared - 5 AFP soldiers dead today, 6 yesterday. Ofc sniper fire.",,,#,883685396198158338,https://twitter.com/SaladinAlDronni/status/883685396198158338,en
notluisa_,2017-07-08 21:51,0,0,people who joke about the conflict in marawi need to shut the fuck up,,,,883684979162529792,https://twitter.com/notluisa_/status/883684979162529792,en
PHLNewsInsider,2017-07-08 21:45,0,0,Former Maute child-warrior says leaders ordered around 96 armed youngsters to leave Marawi and continue jihad elsewhere. | chinogaston,,@,,883683378142171137,https://twitter.com/PHLNewsInsider/status/883683378142171137,en
PHLNewsOnline,2017-07-08 21:44,0,0,[GMA News] Red Cross aiding traumatized Marawi victims,,,,883683129873059840,https://twitter.com/PHLNewsOnline/status/883683129873059840,en
realnewsvideos,2017-07-08 21:40,0,0,U.S. Special Forces held Philippine troops defear IS linked group Marawi,,,# #,883682089383600128,https://twitter.com/realnewsvideos/status/883682089383600128,en
OneMusicPH,2017-07-08 21:39,102,296,"One Music Live presents Awit Para Sa Marawi"" A Benefit Concert. 08.06.17 Follow onemusicph for more updates!""",,@,,883681951298625537,https://twitter.com/OneMusicPH/status/883681951298625537,en
inquirer_libre,2017-07-08 21:37,0,0,Pag-IBIG orders 6-month moratorium on loan fee for members in Marawi d,,,,883681413924573185,https://twitter.com/inquirer_libre/status/883681413924573185,en
Metta443,2017-07-08 21:37,6,11,Marawi has been waiting to happen (thanks to incompetent Noy admin & loser LP). Intel re daesh has been there (& shared among countries).,,,,883681341866254336,https://twitter.com/Metta443/status/883681341866254336,en
Jimparedes,2017-07-08 21:34,1,12,The Tragedy of Marawi for a Chastened Duterte,,,,883680743532093440,https://twitter.com/Jimparedes/status/883680743532093440,en
TrendingNewsTV,2017-07-08 21:34,0,0,Hundreds of civilians remain trapped in Marawi breaking news video world,,,# # # #,883680672321294336,https://twitter.com/TrendingNewsTV/status/883680672321294336,en
daybergent,2017-07-08 21:32,0,0,"AND ALL THAT HE HAS TO SAY IS: 'LUMIPAT KA SA MARAWI WALANG TRAFFIC DUN' BITCH, DON'T COME FOR ME. I'M SNATCHING YOUR WIG BALD",,,,883680279323267072,https://twitter.com/daybergent/status/883680279323267072,en
CherJuano,2017-07-08 21:30,0,0,Dividing the Marawi donations to UNICEF and Red Cross :),,,,883679571173756928,https://twitter.com/CherJuano/status/883679571173756928,en
watsupasia,2017-07-08 21:28,0,0,Latest: Hundreds of civilians remain trapped in Marawi,,,,883679073381339137,https://twitter.com/watsupasia/status/883679073381339137,en
GraffitiExpert,2017-07-08 21:24,0,0,"Marawi airstrikes target high-rise snipers"" - military spokesperson via gmanews""",,@,,883678255919751168,https://twitter.com/GraffitiExpert/status/883678255919751168,en
whar_kandi,2017-07-08 21:22,0,0,"Sudan: Sudan Sanctions, Mosul, and Marawi - The Cheat Sheet",,,,883677733154414592,https://twitter.com/whar_kandi/status/883677733154414592,en
Salaam_Movement,2017-07-08 21:19,1,4,"Session 1 Topic: Discernment on the Marawi Crisis, Issues on Violent Extremism and the Role of the Youth in Preventing It.",,,,883676827444576256,https://twitter.com/Salaam_Movement/status/883676827444576256,en
slstrategiesusa,2017-07-08 21:17,0,0,Marawi crisis - Wikipedia <- Still Going. Finally with More Food than Ammo... 6wks Invaded,,,,883676355186929664,https://twitter.com/slstrategiesusa/status/883676355186929664,en
zyiteblog,2017-07-08 21:15,0,0,India offers help in rehabilitation of war-torn Marawi - The Indian government has expressed its sympathies to ...,,,,883675921852637184,https://twitter.com/zyiteblog/status/883675921852637184,en
bambisense,2017-07-08 21:15,0,0,"Given why they were sent to Marawi, I really hope they won't assault the animals.",,,,883675826918612992,https://twitter.com/bambisense/status/883675826918612992,en
SupremeCourtPHL,2017-07-08 21:15,0,0,Marawi-born CA justice tops JBC list for SC - Philippine Star,,,,883675801580969984,https://twitter.com/SupremeCourtPHL/status/883675801580969984,en
KiKirKoy,2017-07-08 21:10,1,1,India offers help in rehabilitation of war-torn Marawi,,,,883674645991366656,https://twitter.com/KiKirKoy/status/883674645991366656,en
DailyStarPH,2017-07-08 21:08,0,0,A hope for abandoned pets in Marawi -,,,,883674144218513408,https://twitter.com/DailyStarPH/status/883674144218513408,en
SirIsaacNewtonz,2017-07-08 21:07,0,0,..and you'd want ML only in Marawi? Good decision to declare ML in the entire Mindanao.,,,,883673860721188864,https://twitter.com/SirIsaacNewtonz/status/883673860721188864,en
_memebuster,2017-07-08 21:07,0,3,“It’s quite offensive to treat us like trashbin for abusive cops. And to use the Marawi siege as a punishment...,,,,883673836054499328,https://twitter.com/_memebuster/status/883673836054499328,en
deanjorgebocobo,2017-07-08 21:04,4,2,"Who will end up killing more civilians in Marawi, ISIS or DU30? Collateral_Damage is mounting.",,,# #,883673040147460096,https://twitter.com/deanjorgebocobo/status/883673040147460096,en
Politiko_Ph,2017-07-08 21:04,1,0,Almost there! Bad weather forces Duterte to cancel Marawi visit,,,,883673020631457793,https://twitter.com/Politiko_Ph/status/883673020631457793,en
bilyonaryo_ph,2017-07-08 21:00,0,0,"Chinoy bilyonaryos , Nestle, ROHM heed PH Red Cross appeal for donations to Marawi victims",,,,883672026157912064,https://twitter.com/bilyonaryo_ph/status/883672026157912064,en
