ferdinandhcabre,2017-09-07 7:59,0,1,We dreamed to cover resupply of troops in Marawi,"(['Cotabato', ' Philippines'], Location((7.27, 124.86, 0.0)))",,,,
nerowattz,2017-09-07 7:58,0,0,Death of 9 wounded soldiers hike Marawi toll to 145 http:// inq,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,
ultrascanhumint,2017-09-07 7:58,0,0,Who is winning the war in Marawi ?: Consequently,,,,,
UltrascanMENA,2017-09-07 7:58,0,0,Who is winning the war in Marawi ?: Consequently,"(['Paris', ' France'], Location((48.8566101, 2.3514992, 0.0)))",,,,
milnewsJKT,2017-09-07 7:52,0,0,Today's Defense News: China donates about 100,"(['Fort Irwin', ' CA'], Location((35.2627527, -116.6847524, 0.0)))",,,,
dzmmPatrol44,2017-09-07 7:51,0,0,China,,,,,
RobertPostings,2017-09-07 7:49,0,0,#Philippines airstrikes contribute to target #ISIS held parts of #Marawi https:// twitter,,,,,
PhilDefNews,2017-09-07 7:48,0,0,AFP: Airstrikes pound Isnilon Hapilon’s known position in Marawi http://www,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,
lozkook,2017-09-07 7:41,1,1,Ticket prices are 200/300/450/600! Come and watch! You'll be helping the TPBP Movement for One with Marawi,"(['nge'], Location((35.000074, 104.999927, 0.0)))",,,,
tessnakis,2017-09-07 7:41,0,0,rt : RT spinsterAtashi: #PushAwardsMayWards Si Buang Suuna ay pagod kakagawa ng Pumpkin na robot sa loob ng marawi,"(['National Capital Region'], Location((14.5736108, 121.0329706, 0.0)))",,,,
chUrlz__,2017-09-07 7:39,0,0,Spinster: #PushAwardsMayWards Si Buang Suuna ay pagod kakagawa ng Pumpkin na robot sa loob ng marawi,,,,,
Maria86439147,2017-09-07 7:39,0,0,qt spin: #PushAwardsMayWards Si Buang Suuna ay pagod kakagawa ng Pumpkin na robot sa loob ng marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
spinsterAtashi,2017-09-07 7:32,42,2,#PushAwardsMayWards Si Buang Suuna ay pagod kakagawa ng Pumpkin na robot sa loob ng marawi,"(['All Blue'], Location((33.3319468, -86.7204435, 0.0)))",,,,
dzbb,2017-09-07 7:30,0,1,Militar,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
RomorosaJessa,2017-09-07 7:28,0,0,otw sa marawi,"(['Lucena City', ' Calabarzon'], Location((13.9269297, 121.6131654, 0.0)))",,,905573399900020736,https://twitter
MarkGascon1,2017-09-07 7:25,0,0,Marawi crisis spilled over,"(['Planet Earth'], Location((47.5044752, 19.1251107, 0.0)))",,,,
Hippy_Monday,2017-09-07 7:24,0,0,#Marawi ：エドゥアルド・アニョ参謀総長は定年である56歳の誕生日を迎える10月中に包囲戦を終了したと言う。2017 09 04 http:// cnnphilippines,,,,,
MarawiBoutique,2017-09-07 7:22,0,0,شرفينا ماراح تخسرين ابداً وشيكي حسابنا الانستقرام راح تلاقين الاناقة والجمال مثل ذوقك الرفيع insta: @marawi _boutique,"(['Riyadh', ' Sahafah Area'], Location((-29.6477778, 31.0633333, 0.0)))",@marawi,,905571899022995457,https://twitter
anjeismo,2017-09-07 7:21,0,0,Mayroon palang mas malaki pang kuwentong nakakubli sa Marawi,"(['Dead Neighborhood'], Location((31.5078967, 35.101681, 0.0)))",,,,
Hippy_Monday,2017-09-07 7:21,0,0,#Marawi ： Do30、包囲戦は12月終了目処ー過激派を含め全ての命を救いたい、しかしモスクの攻撃により人質の命のリスクもある。2017 09 04 http:// newsinfo,,,,,
notiviralized,2017-09-07 7:20,0,0,Los islamistas matan a 13 de Filipinas de la infantería de marina en wartorn Marawi city http:// viralized,,,,,
notiviralized,2017-09-07 7:20,0,0,Los islamistas matan a 13 de Filipinas de la infantería de marina en wartorn Marawi city http:// viralized,,,,,
DZAR1026,2017-09-07 7:20,0,0,12 paaralan sa Marawi,"(['ACQ Tower', ' Makati City', ' Philippines'], Location((14.5608377, 121.042507237, 0.0)))",,,,
GoestArso,2017-09-07 7:10,0,0,Setelah geger Marawi di Filipina,,,,,
DZAR1026,2017-09-07 7:06,0,0,China,"(['ACQ Tower', ' Makati City', ' Philippines'], Location((14.5608377, 121.042507237, 0.0)))",,,,
pkokga,2017-09-07 7:02,0,0,Philippine Army: ISIS Is Getting Weaker In Marawi City https:// shar,"(['Florida', ' USA'], Location((27.7567667, -81.4639835, 0.0)))",,,,
watsupeurope,2017-09-07 7:01,0,0,#Europe : Philippine army braces for final push against ISIL-linked Maute in Marawi https:// goo,"(['Europe'], Location((51.0, 10.0, 0.0)))",,,,
dwiz882,2017-09-07 6:57,0,0,#IZHeadlines Hinihinalang pinagtataguan ni Isnilon Hapilon sa Marawi City,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,,,
dzbb,2017-09-07 6:56,0,1,Mga bandidong Abu Sayyaf at rupong Maute,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
DZMMTeleRadyo,2017-09-07 6:45,1,3,Maute group,"(['ABS-CBN', ' Diliman', ' Quezon City'], Location((11.5874907, 122.7520466, 0.0)))",,,,
newsko_com_ph,2017-09-07 6:45,1,1,Robin Padilla nagbenta ng Humvee at RV bus para ipantulong sa Marawi http://www,,,,,
LITechNewsPosts,2017-09-07 6:42,0,0,#LITechNews : Robin Padilla Selling Vehicles to Benefit Marawi Residents #Construction #Evacuation https:// longislandtechnologynews,"(['Bohemia', ' NY'], Location((49.8167003, 15.4749544, 0.0)))",,,,
Spiculus1,2017-09-07 6:38,0,1,Se recrudecen los combates entre Daesh y el Ejército Filipino en Marawi,"(['Alepo', ' Siria'], Location((36.19924, 37.1637253, 0.0)))",,,,
philippines_tip,2017-09-07 6:38,0,1,Terror Fight,,,,,
ukgdos,2017-09-07 6:25,1,3,#UmagangBalita Mga opisyal ng barangay sa Marawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
dzbb,2017-09-07 6:25,0,1,Mga sundalo sa lungsod ng Marawi,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,
roniel4,2017-09-07 6:23,0,0,Songs for Heroes 3 benefit concert para sa mga sundalo sa Marawi City,,,,,
dzIQ990,2017-09-07 6:21,0,0,Kalakalan sa Marawi,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,
dzIQ990,2017-09-07 6:20,0,0,DPWH,"(['Makati City'], Location((14.5591272, 121.0202094, 0.0)))",,,,
StevenRoodPH,2017-09-07 6:12,0,2,Among #Marawi victims,,,,,
