username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
naz_gul;2017-08-22 20:25;0;0;"Students return to school in Marawi. Start of the slow path to rebuilding what will hopefully be more sustainable https://www.facebook.com/CNNPhilippines/videos/2009913469248542/ …";;;;"899970846227275777";https://twitter.com/naz_gul/status/899970846227275777
marawi_q8;2017-08-22 20:25;2;1;"تستاهلي";;;;"899970841982550017";https://twitter.com/marawi_q8/status/899970841982550017
marawi_q8;2017-08-22 20:25;1;1;"@ Klood9012 # دعم_خآص # مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899970783245512706";https://twitter.com/marawi_q8/status/899970783245512706
Klood9012;2017-08-22 20:25;1;1;"تستاهلو كل خير";;;;"899970747711586308";https://twitter.com/Klood9012/status/899970747711586308
rickrick888;2017-08-22 20:25;0;0;"EARLIER: Soldier and Sarimanok mascots welcome students on first day of classes at Mindanao State University in Marawi | RexCNNPH …";;;;"899970737569763332";https://twitter.com/rickrick888/status/899970737569763332
Venus_244;2017-08-22 20:25;2;2;"مرسي يا زوء تسلمي";;;;"899970737527717888";https://twitter.com/Venus_244/status/899970737527717888
Venus_244;2017-08-22 20:24;1;2;"تستاهل الانيقه لولو";;;;"899970595223371776";https://twitter.com/Venus_244/status/899970595223371776
Venus_244;2017-08-22 20:24;1;1;"يستاهلك الطيب";;;;"899970490802081793";https://twitter.com/Venus_244/status/899970490802081793
marawi_q8;2017-08-22 20:24;0;0;"ياعيوني انتي لولوتي";;;;"899970461429190656";https://twitter.com/marawi_q8/status/899970461429190656
Lojian4;2017-08-22 20:23;0;0;"يستاهلك الطيب حبيبتي ماننحرم منك ياورده";;;;"899970352977240064";https://twitter.com/Lojian4/status/899970352977240064
marawi_q8;2017-08-22 20:23;1;0;"وانتي تستاهلي";;;;"899970289399771140";https://twitter.com/marawi_q8/status/899970289399771140
marawi_q8;2017-08-22 20:23;3;4;"@ Venus_244 # دعم_خآص # مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899970219900194817";https://twitter.com/marawi_q8/status/899970219900194817
Venus_244;2017-08-22 20:23;1;1;"تستاهل الملكه";;;;"899970198417092609";https://twitter.com/Venus_244/status/899970198417092609
marawi_q8;2017-08-22 20:23;0;0;"تستاهلي لولوتي";;;;"899970182239539201";https://twitter.com/marawi_q8/status/899970182239539201
marawi_q8;2017-08-22 20:22;1;2;"@ Rana_rana44 # دعم_خآص # مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899970091999051776";https://twitter.com/marawi_q8/status/899970091999051776
Lojian4;2017-08-22 20:22;0;0;"فدوووة فدوووة مروة ع دعمك حبيبتي مشكورة حياتي";;;;"899969936608591872";https://twitter.com/Lojian4/status/899969936608591872
cnnphilippines;2017-08-22 20:21;8;57;"EARLIER: Soldier and Sarimanok mascots welcome students on first day of classes at Mindanao State University in Marawi | @ RexCNNPHpic.twitter.com/ZZMtOzfwso";;@;;"899969769914249216";https://twitter.com/cnnphilippines/status/899969769914249216
marawi_q8;2017-08-22 20:20;1;2;"@ Lojian4 # دعم_خآص # مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899969469170106368";https://twitter.com/marawi_q8/status/899969469170106368
ANCALERTS;2017-08-22 20:20;5;13;"Marawi university reopens as war drags on; enrollment drops http://bit.ly/2wA6OfK # MarawiClash";;;#;"899969401402916866";https://twitter.com/ANCALERTS/status/899969401402916866
marawi_q8;2017-08-22 20:17;0;0;"@9UCXV # دعم_خآص # مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@9UCXV;# #;"899968822995673088";https://twitter.com/marawi_q8/status/899968822995673088
marawi_q8;2017-08-22 20:15;7;8;"ماڪنت اعرف اللي شرا الورد يسقيه؛ لڪن عرفت اللـي سقـى الورد بـاعہpic.twitter.com/oJnmeApRIf";;;;"899968300926377985";https://twitter.com/marawi_q8/status/899968300926377985
rmnnetworks;2017-08-22 20:15;0;0;"# LATESTNEWS Dating Mayor ng Marawi City, isinama na ulit ng Defense Department sa arrest order http://fb.me/8ML1jjHXF";;;#;"899968196312129536";https://twitter.com/rmnnetworks/status/899968196312129536
AlianaMrnds;2017-08-22 20:14;0;1;"ako na po maghahatid sa kanila sa marawi";;;;"899967960189517825";https://twitter.com/AlianaMrnds/status/899967960189517825
ahmed_g911;2017-08-22 20:13;0;0;"11 اول واحد هيتعبه";;;;"899967806304800769";https://twitter.com/ahmed_g911/status/899967806304800769
crushkosilen;2017-08-22 20:10;0;0;"Maute sa marawi o maute sa schl nyo HAHAHAHAHHA BOBO KO TANGA TANGA";;;;"899967091809239040";https://twitter.com/crushkosilen/status/899967091809239040
stacieoniras;2017-08-22 20:10;0;1;"Haha man suicide ya dw le na marawi! Ahahah pic.twitter.com/3CRaQG2nVk";;;;"899966949932752897";https://twitter.com/stacieoniras/status/899966949932752897
marawi_q8;2017-08-22 20:10;0;0;"ههههههههضحكتيني والله";;;;"899966899567476737";https://twitter.com/marawi_q8/status/899966899567476737
marawi_q8;2017-08-22 20:07;1;0;"تستاهلي حبيبتي";;;;"899966329108578309";https://twitter.com/marawi_q8/status/899966329108578309
abrar0558;2017-08-22 20:07;1;0;"مشكورة قلبي ع الدعم";;;;"899966178726227970";https://twitter.com/abrar0558/status/899966178726227970
marawi_q8;2017-08-22 20:06;3;1;"@ abrar0558 # دعم_خآص # قروب_جنون_للدعم ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899966082479345664";https://twitter.com/marawi_q8/status/899966082479345664
_ysiahx;2017-08-22 20:06;0;1;"(For marawi) magkintindihan nalang tayong mga Pilipino, tayo ang magkalahi tayo pa naggagantuhan";;;;"899966031816347648";https://twitter.com/_ysiahx/status/899966031816347648
24OrasGMA;2017-08-22 20:04;0;0;"Ang isa niyang nabiktima— pulis din na gusto lang daw sanang makatulong sa duty ng suspek sa Marawi. Nakatutok si @ susan_enriquez";;@;;"899965547583905792";https://twitter.com/24OrasGMA/status/899965547583905792
IfaS31;2017-08-22 20:04;0;0;"ﺍﻧﺎﻟﻴﻞ ﺍﻟﻬﻮﺍﺟﺲ ﻭﺍﻟﺘﻤﻨﻲ. ﺍﻧﺎﻣﻦ ﻫﺎﻡ ﻓﻲ ﺍﻻﻭﺟﺎﺱ ﻓﻨﻲ. ﺍﻧﺎﻣﻦ ﺍﺭﺗﻮﻭﻱ ﺍﻻ ﻫﺎﺕ ﻇﻠﻤﺎ. ﻭﻟﻢ ﻳﺒﻘﻲ ﻟﻘﻠﺒﻲ ﻏﻴﺮﺣﺴﻦ ﺿﻨﻲ ﺑﺮﺑﻲ ﺍﺭﺗﺠﻲ ﻭﺍﻫﻴﻢ ﻭﺍﻏﻨﻲ";;;;"899965520585396224";https://twitter.com/IfaS31/status/899965520585396224
marawi_q8;2017-08-22 20:03;2;0;"@ Kingof_sense # دعم_خآص # قروب_جنون_للدعم ƒσℓℓσw ┊ ┊ ┊ ┊࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊࿐آبدآع  ࿐تميز";;@;# #;"899965234059673600";https://twitter.com/marawi_q8/status/899965234059673600
