PunchTheLies,2017-07-08 23:51,this is great how i wish to see like this for marawi refugees too,,en,0.014749,0.627856,0.246196,0.055771,0.095875,"['joy', 0.627856]"
LOCALNEWSNgayon,2017-07-08 23:50,budget bureaucratic hurdles slows aid for marawi evacuees  dswd  read via gma news,,en,0.073531,0.052471,0.463672,0.314891,0.423218,"['sadness', 0.463672]"
jshgmboa,2017-07-08 23:49,marawi is lit,,en,0.02084,0.282614,0.077395,0.151548,0.079968,"['joy', 0.282614]"
jdesignz,2017-07-08 23:47,budget bureaucratic hurdles slows aid for marawi evacuees  dswd,,en,0.203683,0.030781,0.489853,0.231254,0.312571,"['sadness', 0.489853]"
inquirer_libre,2017-07-08 23:34,palma pray for end of marawi strife,,en,0.073714,0.066607,0.447892,0.436881,0.119387,"['sadness', 0.447892]"
ModernizePH,2017-07-08 23:30,look duterte in combat uniform armed wanted to go to marawi,,en,0.088576,0.091031,0.485834,0.319866,0.066315,"['sadness', 0.485834]"
orlymercado1,2017-07-08 23:26,marawi conflict is not about muslims vs christians but xtremism vs mainstream faith assault also on historic maranao culture and humanity,,en,0.131759,0.206192,0.25197,0.093183,0.394709,"['disgust', 0.394709]"
DubredoArmy,2017-07-08 23:18,hippie president rody duterte tried to visit marawi city but wasnt allowed to push through due to bad weather,,en,0.207507,0.0195,0.5813,0.182326,0.141431,"['sadness', 0.5813]"
DyfendersOFC,2017-07-08 23:17,dyfenders this is for the benefit concert sa marawi lets request for our champion,,en,0.019677,0.441595,0.14198,0.0591,0.067448,"['joy', 0.441595]"
IAmSonrisaP,2017-07-08 23:11,11 marawis safety,,en,0.036594,0.041783,0.060751,0.11909,0.050833,"['fear', 0.11909]"
FoxxySpriggan,2017-07-08 23:10,why dont they bring themselves to marawi and make their protest there since theyre mentioning laban,,en,0.355601,0.05258,0.307737,0.146589,0.483755,"['disgust', 0.483755]"
cebudailynews,2017-07-08 23:05,palma pray for end of marawi strife d,,en,0.073714,0.066607,0.447892,0.436881,0.119387,"['sadness', 0.447892]"
mhgabendan,2017-07-08 23:04,since the marawi siege this is the first saturday i spent my entire day at home what a time to be alive,,en,0.061246,0.645215,0.25047,0.037437,0.035199,"['joy', 0.645215]"
disasters_ph,2017-07-08 23:03,eu provides 8500 to support victims of marawi crisis  update philippines d,,en,0.080733,0.039086,0.350394,0.139659,0.295777,"['sadness', 0.350394]"
ModernizePH,2017-07-08 23:00,commanders may decide to use heavy bombs in marawi,,en,0.172091,0.193606,0.380759,0.346254,0.139441,"['sadness', 0.380759]"
