username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sahoma_q8;2017-09-29 11:06;1;1;"فطوم اللي مات جد نهوده ومروه ، مو بنت";;;;"913600739217461249";https://twitter.com/Sahoma_q8/status/913600739217461249
inquirerdotnet;2017-09-29 11:05;5;7;"Duterte sees Marawi crisis ending by the end of the month | @NCorralesINQ http:// ebx.sh/2wn11qJ";;@NCorralesINQ;;"913600638440886272";https://twitter.com/inquirerdotnet/status/913600638440886272
myhunna;2017-09-29 11:05;0;0;"Meron parang benefit con for Marawi . 5k lang moshpit";;;;"913600563496939520";https://twitter.com/myhunna/status/913600563496939520
unSauLicited;2017-09-29 11:04;0;1;"Ironic na literal na pumapatay ang pera sa labanan sa Marawi . :( https:// twitter.com/PTVph/status/9 13599606520291329 …";;;;"913600284856930306";https://twitter.com/unSauLicited/status/913600284856930306
dzbb;2017-09-29 10:59;1;3;"Marawi City, bubuksan ni Pang. Duterte sa mga dayuhang investor. | via @mamutuesday pic.twitter.com/eywwdS4bRR";;@mamutuesday;;"913599186569879552";https://twitter.com/dzbb/status/913599186569879552
hhh387740;2017-09-29 10:56;0;0;"البقاء لله";;;;"913598238174855168";https://twitter.com/hhh387740/status/913598238174855168
Sahoma_q8;2017-09-29 10:53;1;1;"البقاءلله ، شكرا لك";;;;"913597552964104193";https://twitter.com/Sahoma_q8/status/913597552964104193
alphieuba;2017-09-29 10:46;0;0;"Am i the only person wondering if the crisis in marawi over or not? How's marawi atm?";;;;"913595745730682881";https://twitter.com/alphieuba/status/913595745730682881
AmyChewCNA;2017-09-29 10:41;0;0;"Great insights into #MauteGroup 's fight in #Marawi from ex hostage who also met #AbuSayyaf leader Isnilon Hapilon http:// s.rplr.co/qfpw7vI";;;#MauteGroup #Marawi #AbuSayyaf;"913594544284766208";https://twitter.com/AmyChewCNA/status/913594544284766208
News5AKSYON;2017-09-29 10:40;2;4;"Nagpasalamat si Pres. Duterte sa tulong ng Amerika sa mga sundalo sa Marawi . http:// news.tv5.com.ph/aksyontonite/w atch/GwLsbVveztI/duterte,%20huminay%20sa%20tirada%20sa%20amerika …";;;;"913594180131270656";https://twitter.com/News5AKSYON/status/913594180131270656
NCorralesINQ;2017-09-29 10:33;1;1;"Duterte sees Marawi crisis ending by the end of the month http:// newsinfo.inquirer.net/934209/duterte -sees-marawi-crisis-ending-by-the-end-of-the-month …";;;;"913592549859762178";https://twitter.com/NCorralesINQ/status/913592549859762178
trumpathon;2017-09-29 10:31;0;0;"MARAWI NEWS LATEST UPDATE SEPTEMBER 26 2017 http:// trumpathon.com/marawi-news-la test-update-september-26-2017/ … pic.twitter.com/Boa1fetvlH";;;;"913592056286556162";https://twitter.com/trumpathon/status/913592056286556162
meanvelasco;2017-09-29 10:20;0;0;"Are they comparing the situation in Marawi with the Rohingyans?";;;;"913589179094769664";https://twitter.com/meanvelasco/status/913589179094769664
WowSmileRadio;2017-09-29 10:18;0;0;"White Mosque sa Marawi , Nabawi Na ng Militar https:// wowsmileofficial.wordpress.com/2017/09/29/whi te-mosque-sa-marawi-nabawi-na-ng-militar/ …";;;;"913588787854184448";https://twitter.com/WowSmileRadio/status/913588787854184448
nerowattz;2017-09-29 10:17;0;0;"Duterte sees Marawi crisis ending by the end of the month http:// inq.ph/inqmobileapp InquirerMobile http:// ift.tt/2xPnFMh";;;;"913588487068188672";https://twitter.com/nerowattz/status/913588487068188672
PTVph;2017-09-29 10:13;2;5;"DPWH gives P2M cash donation for Marawi Heroes’ Dependents http:// ptvnews.ph/dpwh-gives-p2m -cash-donation-marawi-heroes-dependents/ …";;;;"913587539436494848";https://twitter.com/PTVph/status/913587539436494848
ganuhayivanrex;2017-09-29 10:05;0;0;"I liked a @YouTube video http:// youtu.be/j440mvG6j2g?a Esang De Torres - Awit Sa Marawi (Official Lyric Video)";;@YouTube;;"913585395048337408";https://twitter.com/ganuhayivanrex/status/913585395048337408
DPWHph;2017-09-29 10:04;1;3;"DPWH gives P2M cash donation for Marawi Heroes’ Dependents http:// fb.me/6selG2MKm";;;;"913585270162944000";https://twitter.com/DPWHph/status/913585270162944000
AmyChewCNA;2017-09-29 09:59;0;0;"Bodies, firearms retrieved from former #Maute stronghold in #Philippines #Marawi city @rapplerdotcom http:// s.rplr.co/cCqGMPD";;@rapplerdotcom;#Maute #Philippines #Marawi;"913583925133434880";https://twitter.com/AmyChewCNA/status/913583925133434880
trumpathon;2017-09-29 09:56;0;0;"Military ops vs Maute terror group in Marawi City http:// trumpathon.com/military-ops-v s-maute-terror-group-in-marawi-city/ … pic.twitter.com/nKVpT1bGB1";;;;"913583159886909440";https://twitter.com/trumpathon/status/913583159886909440
spinsterAtashi;2017-09-29 09:52;69;5;"#StarMagicBallFanFave Maymay Entrata si Suna Nakahara ay Orange at nasa marawi ... love u Maymay!";;;#StarMagicBallFanFave;"913582186762260486";https://twitter.com/spinsterAtashi/status/913582186762260486
dzIQ990;2017-09-29 09:40;0;0;"Posibleng paglaganap ng iligal na droga sa evacuation centers, binabantayan ng Task Force Marawi - https:// shar.es/1VZjSl | @MMakalaladINQ";;@MMakalaladINQ;;"913579271326593024";https://twitter.com/dzIQ990/status/913579271326593024
dzrhnews;2017-09-29 09:32;0;0;"Adiong: Lahat po ay naapektuhan, magpapasa po ang Lanao del Sur at Marawi ng report para sa prioritization.";;;;"913577163940552704";https://twitter.com/dzrhnews/status/913577163940552704
PHINewsNet1;2017-09-29 09:30;0;0;"Marawi Mayor Majul Gandamra asks the Maute Group to end the war in his city. http:// s.rplr.co/KLh4EyD";;;;"913576796771061760";https://twitter.com/PHINewsNet1/status/913576796771061760
PHINewsNet1;2017-09-29 09:29;0;0;"End-September target for ending Marawi siege doable – defense chief http:// interaksyon.com/end-september- …";;;;"913576495687143424";https://twitter.com/PHINewsNet1/status/913576495687143424
