Hobiwine18,5/23/2017 23:07,2451,52,กลุ่มก่อการร้ายอ้างตัวว่าเป็นกลุ่มไอซิสและได้ทำการปิดล้อมเมืองเอาไว้ทั้งหมดแล้ว [7],,,#PrayForMarawi,8.67E+17,https://twitter.com/Hobiwine18/status/867034190738407424,th
Hobiwine18,5/23/2017 23:10,3146,91,ขณะนี่เจ้าหน้าที่ของทางการของฟิลิปปินส์ยังไม่สามารถควบคุมสถานการณ์ได้ [8],,,#PrayForMarawi,8.67E+17,https://twitter.com/Hobiwine18/status/867035015678263300,th
Andrea0323_,5/23/2017 22:05,11377,1018,친구랑 통화하고있었는데 pray for marawi 라는 해시테그 봤다고 해서 뭐냐고해서 검색해봤더니 is의 파생그룹인 maute group이 필리핀의 도시 marawi 를 점령하고 사람들을 인질로잡고 is의 도시임을 선포했다는것. 상황이 엄청 심각하고,,,,8.67E+17,https://twitter.com/Andrea0323_/status/867018625709887489,ko
carlo1em,5/23/2017 20:41,36,61,Nasaan ang pangulo? The shortest flight from to is 14 hours +. Huwag kang tanga,,,,,,fil
addictespos,5/23/2017 23:29,223,128,bombardeo en manchester bombardeo en bangkok bombardeo de quiapo isis en marawi EL MUNDO SE ESTA YENDO A LA MIERDA Y NO PODEMOS HACER NADA,,,,8.67E+17,https://twitter.com/addictespos/status/867039907310706689,es
IZZAMC_,5/23/2017 23:59,0,1,idk tukoo we were supposed to meet earlier para kumain sa labas before sya uuwi ng marawi baka lowbatt na yun kasi b.out daw dun ngayon,,,,8.67E+17,https://twitter.com/IZZAMC_/status/867047467375771648,fil
amanda_idfc,5/23/2017 23:59,45,36,Eu vejo humanos,,,,,,pt
JusenChen,5/23/2017 23:59,0,0,Nasa marawi . char. Hinay hinay padating na yung sayo. Wag na kasi choosy love!,,,,8.67E+17,https://twitter.com/JusenChen/status/867047464401903616,fil
ako_si_ish,5/23/2017 23:59,0,0,Ang layo ko sa Marawi . Pero Mindanao wide kasi ang Martial Law,,,,,,fil
_SuperGelo,5/23/2017 23:59,0,0,,,,#prayformarawi,8.67E+17,https://twitter.com/_SuperGelo/status/867047457825243136,#VALUE!
pearlycordura,5/23/2017 23:59,0,0,This is just my opinion. Alam ni Pres. Duterte ang ginagawa niya,,,,,,fil
_balletbelle,5/23/2017 23:59,0,0,ฮืออออ น่ากลัวมากก สู้ๆนะคะ,,,#PrayForMarawi,8.67E+17,https://twitter.com/_balletbelle/status/867047450585976832,th
oxymoron_92,5/23/2017 23:59,0,1,Perché la televisione non ne parla?,,,#PrayForMarawi #PrayForSyria #PrayForBangkok,8.67E+17,https://twitter.com/oxymoron_92/status/867047449789169666,it
paulita_w,5/23/2017 23:59,1,2,¿Algún día vamos a tener paz?,,,#PrayForManchester #PrayForMarawi #PrayForBangkok #PrayForDhaka #PrayForJakarta #PrayForLanaoDelSur,8.67E+17,https://twitter.com/paulita_w/status/867047449281658880,es
alecnevvternple,5/23/2017 23:59,4,8,Wag na kayong maghanapan for a person to blame. FOR MARAWI 'S SAKE BE A NATIONALISIC FILIPINO,,,,8.67E+17,https://twitter.com/alecnevvternple/status/867047447394082816,fil
anasatorr,5/23/2017 23:59,0,0,DASAL WAG PURO DALDAL,,,#PrayForMarawi,8.67E+17,https://twitter.com/anasatorr/status/867047447377334274,fil
georgiavizcayno,5/23/2017 23:59,0,2,Nag sakit akong dughan tungod sa mga nahitabo run :-(,,,#PrayForMarawi #labanmindanao,8.67E+17,https://twitter.com/georgiavizcayno/status/867047447352164352,ceb
Iitvmin,5/23/2017 23:59,0,1,.,,,#PrayForMarawi,8.67E+17,https://twitter.com/Iitvmin/status/867047445376770049,und
JeesonAgaab,5/23/2017 23:59,1,1,Nahihirapan na nga ang mga kababayan ntin sa Marawi tpos may mkikita ka pang mga tao n sinsingit ang politics sa Martial Law,,,#CrabPinoy,8.67E+17,https://twitter.com/JeesonAgaab/status/867047443891838976,fil
jessxca_d,5/23/2017 23:59,0,0,Ca ne s'arrêtera jamais ... pensée encore une fois aux victimes et leur famille,,,#PrayForMarawi,8.67E+17,https://twitter.com/jessxca_d/status/867047443820675072,fr
mgmlovess18,5/23/2017 23:59,0,1,Dili ko kasabot sakong gbati. Happy lang ko taod2 malain npod tungod sa ga trend nga tweets Allah,,,#PrayForMarawi,8.67E+17,https://twitter.com/mgmlovess18/status/867047443417792512,ceb
StanteaR_,5/23/2017 23:59,1,3,Filipinler'in Marawi kentinin büyük bölümünü ele geçiren Işid kent hapishanesinde tutuklu bulunan Müslüman mahkumları serbest bıraktı,,,,8.67E+17,https://twitter.com/StanteaR_/status/867047442457518080,tr
ishadepad,5/23/2017 23:59,0,5,Hindi ako makatulog. Pakiramdam ko,,,,,,fil
BalawaMuda,5/23/2017 23:59,34,0,Militer Filipina Serang Area yang Diduduki ISIS di Kota Marawi http://,,,#TrendsOnSocmed,8.67E+17,https://twitter.com/BalawaMuda/status/867047437218725889,id
jeesrael81,5/23/2017 23:59,1,0,The PRRD DEclared martial law in mindanao ...kng kailan aalis ang pngulo at ska sla ggawa ng move....,,,#PrayForMarawi,8.67E+17,https://twitter.com/jeesrael81/status/867047436283502592,fil
RobeeTheGreat16,5/23/2017 23:59,0,0,Oportunista naman kayong ! Opportunity na magpasikat kayo ni ! Punta na kayo sa Marawi ! Go na! PWEH!,,,#Yellowtards #FakeVPLeniLugawQueenRobredo,8.67E+17,https://twitter.com/RobeeTheGreat16/status/867047427613708288,fil
lovemyjiminnie,5/23/2017 23:59,5,14,Właśnie w takich momentach ciesze się,,,,,,pl
bonnyabby29,5/23/2017 23:59,0,0,Ang grabe http://,,,#PrayForMarawi,8.67E+17,https://twitter.com/bonnyabby29/status/867047423570587649,fil
SaniiSideUp,5/23/2017 23:59,0,0,Martial law in Mindanao. Ya Allah!,,,#prayformarawi,8.67E+17,https://twitter.com/SaniiSideUp/status/867047421842509824,ar
ninzcy,5/23/2017 23:59,0,0,Martial Law in Mindanao for 60 days!!what's happening nman uie! Kining mga maute group gadalag masla!!!,,,#PrayForMarawi,8.67E+17,https://twitter.com/ninzcy/status/867047420860944386,fil
lararoaar,5/23/2017 23:59,0,1,Naa pa syas marawi ?????,,,,8.67E+17,https://twitter.com/lararoaar/status/867047418717655040,ceb
ivanncrisologo,5/23/2017 23:59,1,2,Kapit Pilipinas,,,#PrayForMarawi,8.67E+17,https://twitter.com/ivanncrisologo/status/867047418482774016,fil
pitchperbaek,5/23/2017 23:59,1,0,pls isama din natin sa prayers si president para mabigyan sya ng lakas ni Lord na harapin tong mga to,,,#PrayForMarawi,8.67E+17,https://twitter.com/pitchperbaek/status/867047417014755329,fil
rommeldrawlines,5/23/2017 23:59,0,2,pakihaplos naman po yung puso ng mga teroristang yan kung meron man sila :(,,,#PrayForMarawi,8.67E+17,https://twitter.com/rommeldrawlines/status/867047410299674625,fil
notLoish_,5/23/2017 23:59,0,1,Gubot na gane sa Marawi tpos gagubot pud ta sa social media?!,,,,8.67E+17,https://twitter.com/notLoish_/status/867047409142046721,ceb
aircocoy,5/23/2017 23:59,0,6,Mas gina balita pa ang bakbakan ni cardo og joaquin kaysa sa gaka hitabo sa marawi . Atay ning bandila,,,,8.67E+17,https://twitter.com/aircocoy/status/867047396135510016,fil
