banannanne,5/28/2017 23:38,0,-1,TANGINA MO DUN KA SA MARAWI https:// tus/868715636389625856 …,"(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,8.69E+17,https://twitter.com/banannanne/status/868854105082535936,fil
awesomeQBt,5/28/2017 23:37,0,-1,Konon Sedang Berdakwah,,,,,,ms
kevsrikokun,5/28/2017 23:36,0,-1,Pumunta kayo sa marawi walang kwenta yan medal Kung di kayo tutulong don shooting team nmn kayo dba,,,,8.69E+17,https://twitter.com/kevsrikokun/status/868853378050277376,fil
SaladinAlDronni,5/28/2017 23:33,0,-1,Zależy. Wewnątrz Marawi powinno być ich jeszcze kilkadziesiąt,,,,,,pl
alfayed_Moh,5/28/2017 23:31,0,-1,Pemerintah Selisik 11 WNI yang Berada di Marawi http://,"(['Ciamis', ' Indonesia'], Location((-4.6667377, 104.7772416, 0.0)))",,#indonesiakini,8.69E+17,https://twitter.com/alfayed_Moh/status/868852180245258240,id
xopasid,5/28/2017 23:30,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http://,,,,8.69E+17,https://twitter.com/xopasid/status/868852024955224064,id
Ruffirrific,5/28/2017 23:30,0,-1,Mataan! Ndi ko mapigilan umiyak pag may nabalitaan akong nasusunog/ namamatay nanaman sa Marawi .,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/Ruffirrific/status/868852023818506241,fil
AcSelmM,5/28/2017 23:30,0,-1,Geëxecuteerde Filipijnse burgers gedumpt in ravijn Marawi http:// via,,@NOS,,8.69E+17,https://twitter.com/AcSelmM/status/868851865882120192,nl
JohnYuooHezkell,5/28/2017 23:29,0,-1,,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#PrayforMarawi #SaveMarawi,8.69E+17,https://twitter.com/JohnYuooHezkell/status/868851832751144961,#VALUE!
SevLuci,5/28/2017 23:29,0,-1,Filippine: esercito bombarda . Timore avanzata degli islamisti. 2mila persone in trappola . d ia/Esercito-delle-Filippine-bombarda-Marawi-Timore-avanzata-degli-islamisti-2mila-persone-in-trappola-6937c6f8-93cb-462a-b94d-8d56842a1bba.html … via,"(['Italy'], Location((42.6384261, 12.674297, 0.0)))",@RaiNews,#Marawi,8.69E+17,https://twitter.com/SevLuci/status/868851714891415552,it
