username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dzbb;2017-07-14 07:21;0;2;"Airstrike ng militar, magpapatuloy pa rin sa kabila ng panibagong insidente ng friendly fire sa Marawi. # SuperBalitaSaUmagaNationwide";;;#;"885640480846774272";https://twitter.com/dzbb/status/885640480846774272
politikovismin;2017-07-14 07:21;0;0;"Here's what Marawi Mayor Gandamra thinks of martial law extension talks http://mindanao.politics.com.ph/heres-marawi-mayor-gandamra-thinks-martial-law-extension-talks/ …";;;;"885640233319976960";https://twitter.com/politikovismin/status/885640233319976960
UnangHirit;2017-07-14 07:17;4;3;"Marcos: Palagay ko, malapit nang matapos ang operasyon sa Marawi # UnangHirit";;;#;"885639242856112128";https://twitter.com/UnangHirit/status/885639242856112128
dinbars;2017-07-14 07:15;3;9;"If ML will be extended it should cover Marawi, Lanao areas and Davao City only. Why Davao because its the biggest supporter or Matial Law";;;;"885638906066030593";https://twitter.com/dinbars/status/885638906066030593
JjCarreon13;2017-07-14 07:15;0;0;"Marawi daw bes HAHAHA";;;;"885638855843487744";https://twitter.com/JjCarreon13/status/885638855843487744
InLWithLBeingL;2017-07-14 07:13;0;0;"Marawi under siege: Battle against ISIS in the Philippines https://www.google.com/amp/s/amp.cnn.com/cnn/2017/06/25/asia/philippines-marawi-isis/index.html …";;;;"885638239813488641";https://twitter.com/InLWithLBeingL/status/885638239813488641
nerowattz;2017-07-14 07:11;0;0;"FA-50 jets pulled out of combat in Marawi http://inq.ph/inqmobileapp  InquirerMobilehttp://ift.tt/2tkHchH";;;;"885637742734041088";https://twitter.com/nerowattz/status/885637742734041088
riskmap_;2017-07-14 07:10;2;1;"PHILIPPINES: Troops Retrieve Remains Of Civilians Allegedly Executed In Marawi http://dlvr.it/PVQBsx pic.twitter.com/4JTc7euicT";;;;"885637502215667714";https://twitter.com/riskmap_/status/885637502215667714
cnnphilippines;2017-07-14 07:07;1;3;"# InsideMarawi: Airstrike accident kills two soldiers in Marawi http://cnn.ph/2t6CqJi";;;#;"885636899833921537";https://twitter.com/cnnphilippines/status/885636899833921537
jazminejulian_;2017-07-14 07:05;0;22;"2nd Floor - Magui, Marawi, Sulu 3rd " - LDS (tabi ng SC) 4th " - Jolo (tabi ng SDN)";;;;"885636302216937473";https://twitter.com/jazminejulian_/status/885636302216937473
KUjank;2017-07-14 07:02;0;0;"Panglima TNI Jenderal Gatot Nurmantyo meyakini tujuan militan ISIS menguasai ke wilayah Marawi, Filipina Selatan,... http://fb.me/6cHYGtP9L";;;;"885635523166912512";https://twitter.com/KUjank/status/885635523166912512
gene038;2017-07-14 06:57;0;0;"Muslim ID proposal sparks anger in Philippines Marawi http://p.dw.com/p/2gUgB?tw  via @ dwnews";;@;;"885634390432337921";https://twitter.com/gene038/status/885634390432337921
