rch_muslim,2017-08-05 22:24,0,0,CNN Filipina melaporkan tentang polisi yang dikabarkan malah bergabung dengan IS di Marawi saat terjadi kontak senjata. https:// i/status/893788254830551040 …,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,893840085447188481,https://twitter.com/rch_muslim/status/893840085447188481,id
classy_twain,2017-08-05 22:24,0,0,Sana nakakatulong ung pang ba bash nyo kay sa kaguluhan sa marawi ngayon.,,@hellobangsie,,893840040291205121,https://twitter.com/classy_twain/status/893840040291205121,fil
alterSurfboy,2017-08-05 22:21,1,3,Itapon si mocha sa marawi !,"(['Quezon City', ' National Capital'], Location((14.6509905, 121.0486155, 0.0)))",,,893839454971895808,https://twitter.com/alterSurfboy/status/893839454971895808,fil
carljun_canonoy,2017-08-05 22:16,0,1,Nung napanood ko ngayon ang Lone Survivor,,,,,,fil
Philreport,2017-08-05 22:15,0,0,Mga gamit sa droga nadiskubre sa masjid sa Marawi Ilang drug paraphernalia ang nakuha ng Philippine National... http:// c,,,,893837761853104128,https://twitter.com/Philreport/status/893837761853104128,fil
obvslydeyna,2017-08-05 22:07,0,0,.... itapon kaya kita sa marawi ano,"(['mundo'], Location((33.2736468, -115.569155, 0.0)))",,,893835828731854848,https://twitter.com/obvslydeyna/status/893835828731854848,fil
Catch2T8,2017-08-05 22:06,0,1,Manchester > Marawi > Ozamiz > SM Southmall,"(['Las Pi\xc3\xb1as'], Location((14.4806089, 120.9819099, 0.0)))",,,893835562343317504,https://twitter.com/Catch2T8/status/893835562343317504,fil
margaretramos_,2017-08-05 22:05,0,0,Dapat sakanila pinapatapon sa marawi . https:// tus/893834654087757824 …,"(['South'], Location((-30.5343665, 135.6301212, 0.0)))",,,893835458018385920,https://twitter.com/margaretramos_/status/893835458018385920,fil
abbyalnso,2017-08-05 22:02,0,0,oo tapos padala natin marawi loljk,,,,893834608168402945,https://twitter.com/abbyalnso/status/893834608168402945,fil
mga_pakaisa,2017-08-05 22:01,0,2,Math class~ Instructor: find x Student: ey ilaya nga sa uyot ka ba nga minitapok Instructor: Math: X: Classmates: Room: School: Marawi :,,,,893834367641960448,https://twitter.com/mga_pakaisa/status/893834367641960448,fil
PIA_NCR,2017-08-05 21:56,0,0,PIA| AFP,"(['Visayas Avenue', ' Quezon City'], Location((14.654271, 121.0475384, 0.0)))",,,,,it
prcsthea,2017-08-05 21:48,0,0,Kakabadtrip na kasi eh. Hauf sarap mo ipatapon sa Marawi .,"(['New World', ' Grand Line'], Location((-43.53892745, 172.632625857, 0.0)))",,,893831194642489344,https://twitter.com/prcsthea/status/893831194642489344,fil
BERITAMediaCorp,2017-08-05 21:45,1,1,Duterte lakukan lawatan mengejut ke Marawi buat kali kedua. http://,"(['Mediacorp', ' 1 Stars Avenue'], Location((1.29543415, 103.792257601, 0.0)))",,,893830216358871041,https://twitter.com/BERITAMediaCorp/status/893830216358871041,ms
blaqvan,2017-08-05 21:37,0,0,Convos with uncle about gyera sa Marawi and other issues na invole ang law. Nice talk,"(['Caraga', ' Republic of the Philip'], Location((9.2471392, 125.855781887, 0.0)))",,,893828290607104001,https://twitter.com/blaqvan/status/893828290607104001,fil
btsislifeu_,2017-08-05 21:36,1,5,potangina saranghae girl,"([""bts' side""], Location((59.9882745, 30.3420271, 0.0)))",,,,,fil
engrleng,2017-08-05 21:35,0,9,papa: bilhan nalang kita bukas sa sm marawi sale sila my pamili :-(,,,,893827869754900480,https://twitter.com/engrleng/status/893827869754900480,fil
btsislifeu_,2017-08-05 21:35,0,1,QAQEU BAKIT BA KITA KAIBIGAN HA SAMA KITA SA MARAWI EH IKAW YUNG IPAMBOBOMBA KO SAKANILA HAHAHHAHAHAHAHAHAHHAHAHAHHAHAHAH LABYOW,"([""bts' side""], Location((59.9882745, 30.3420271, 0.0)))",,,893827865334104064,https://twitter.com/btsislifeu_/status/893827865334104064,fil
biBilooog,2017-08-05 21:35,0,1,Sana matapos na mission ni papa sa Marawi para makauwi na siya,,,,893827715316326400,https://twitter.com/biBilooog/status/893827715316326400,fil
gmanewsfacebook,2017-08-05 21:35,0,0,Pitumpu't limang araw na ang bakbakan sa Marawi . Sa gitna ng clearing operation doon,,,,,,fil
btsislifeu_,2017-08-05 21:32,0,1,padala kita sa marawi ate gurl tignan mo qaqeu HHAHAHAHAH,"([""bts' side""], Location((59.9882745, 30.3420271, 0.0)))",,,893827045309808640,https://twitter.com/btsislifeu_/status/893827045309808640,fil
stateofdnation,2017-08-05 21:29,0,1,VIDEO: Mga bakwit sa labas ng Marawi,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
DZMMTeleFeed,2017-08-05 21:25,0,0,ID ng pulis na sumapi sa Maute,,,,,,fil
PoGo_Port,2017-08-05 21:22,0,0,Tulong sa mga evacuees ng Marawi crisis,,,,,,fil
dzrhnews,2017-08-05 21:19,0,0,ID ng isang nag-AWOL na pulis,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,,,fil
malvinthegreat,2017-08-05 21:10,0,12,ipadala sa marawi to hahaha charot.,"(['neverland'], Location((36.548132, -121.919599, 0.0)))",,#NewProfilePic #takisap,893821445716955137,https://twitter.com/malvinthegreat/status/893821445716955137,fil
krizeldaMicie,2017-08-05 21:08,0,1,Volts? San yung sa marawi ?,,,,893821073631846401,https://twitter.com/krizeldaMicie/status/893821073631846401,fil
