IAmMrJySnts,5/23/2017 23:58,#PrayForMarawi,"(['Seoul', ' South Korea'], Location((37.5666791, 126.9782914, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
kcpanganiban,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
swiftynah,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
ikevinsubiaco,5/23/2017 23:58,#PrayForMarawi,"([""Central City \xc2\xa0\xe2\x9c\x88 King's Landing""], Location((35.803873, -85.64203, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
mahaivanna,5/23/2017 23:58,#PrayForMarawi,"(['Central Perk'], Location((1.2884164, 103.8420247, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
SittieJonaisah,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
happydaisy03,5/23/2017 23:58,#PrayForMarawi,"(['Bataan', ' Ph'], Location((14.666667, 120.416667, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
nicolelocsin1,5/23/2017 23:58,#PrayForMarawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
duuuhnyela,5/23/2017 23:58,#PrayForMarawi,"(['Pandora'], Location((48.3935851, 9.999379, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
Yammybears,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
angel_melleth,5/23/2017 23:58,#PrayForMarawi,"(['San Pablo City', ' Calabarzon'], Location((14.05569, 121.357897275, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
_paoloy,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
elizierbarroga,5/23/2017 23:58,#PrayForMarawi,"(['MNL'], Location((14.5121499, 121.022046716, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
sorianoandrea_,5/23/2017 23:58,#PrayForMarawi,"(['Pasig City', ' National Capital R'], Location((9.7771753, 125.4915723, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
Brxnlpz,5/23/2017 23:58,#PrayForMarawi,"(['Caloocan City'], Location((14.6815301, 121.0089111, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
ynaaatengg,5/23/2017 23:58,#PrayForMarawi,"(['PH'], Location((12.44249325, 122.160395164, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
brian_regis,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
07Joshua07,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
jiercereese,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
slayingduchess,5/23/2017 23:58,#PrayForMarawi,"(['Quirino', ' Cagayan Valley'], Location((16.283333, 121.583333, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
IlovingJeongMin,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
callmePID,5/23/2017 23:58,#PrayForMarawi,"(['Negros Occidental'], Location((10.416667, 123.0, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
BillieCapis,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
claeannexx,5/23/2017 23:58,#PrayForMarawi,"(['BOHOL'], Location((9.833333, 124.1615579, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
LizquenM,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
fragiIetae,5/23/2017 23:58,#PrayForMarawi,"(['india'], Location((22.3511148, 78.6677428, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
kbagabaldo,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
ricciguh,5/23/2017 23:58,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
ranieeelllsss,5/23/2017 23:57,#PrayForMarawi,"(['Manila City', ' National Capital'], Location((14.5906216, 120.9799696, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
Eolhc__,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
PATSRelacion,5/23/2017 23:57,#PrayForMarawi,"(['manila city'], Location((14.5906216, 120.9799696, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
prettymuchrosa,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
arnengg,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
babyqueenm,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
kellyabagat,5/23/2017 23:57,#PrayForMarawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
plndtr,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
joshua_jacobe,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
soping24,5/23/2017 23:57,#PrayForMarawi,"(['bacolod city'], Location((10.6762836, 122.9513786, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
revivalslourry,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
fafahearl,5/23/2017 23:57,#PrayForMarawi,"(['Taytay', ' Calabarzon'], Location((14.5587811, 121.140779552, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
capchrisevans,5/23/2017 23:57,#PrayForMarawi,"(['California'], Location((36.7014631, -118.7559974, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
Charminefaye_,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
imnotyourfreak,5/23/2017 23:57,#PrayForMarawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
itskntard,5/23/2017 23:57,#PrayForMarawi,"(['dagat'], Location((9.73672065, 122.395623842, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
hadidyaknow,5/23/2017 23:57,#PrayForMarawi,"(['Winterfell'], Location((51.5455107, 13.9594132, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
KwinE_16,5/23/2017 23:57,#PrayForMarawi,"(['Hell'], Location((63.445531, 10.9032872, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
adriennelorin,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
Rallidabob19,5/23/2017 23:57,#PrayForMarawi,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
